"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"NO18",710,1,0.108,22.34,36.52,0.74,1.1,11,7
"NO19",711,6,0.129,16.87,37.92,0.74,1.3,10.5,8
"NO20",712,0,0.059,29.24,41.99,0.74,0.2,2.3,14
"NO21",713,0,0.071,20.79,38.98,0.74,0.2,1.7,31
"NO22",714,0,0.074,24.81,41,0.74,0.1,1.8,12
"NO23",715,0,0.08,17.02,37.76,0.74,0.2,1.5,31
"NO24",716,0,0.063,28.68,38.05,0.74,0.1,1.6,13
"NO25",717,1,0.093,29.55,28.16,0.74,0.5,6.4,7
"NO26",718,0,0.092,18.22,33.46,0.74,1.1,10.2,28
"NO27",719,1,0.107,23,31.8,0.74,1.1,11,7
"NO28",720,0,0.102,22.42,33.92,0.74,1.1,11,8
"NO29",721,0,0.118,14.07,40.68,0.74,1.4,10,22
"NO30",722,0,0.056,33.87,41.36,0.74,0.1,2.3,18
"NO31",723,0,0.069,24.62,41.89,0.74,0.2,2,22
"NO32",724,0,0.068,25.75,43.53,0.74,0.2,1.9,16
"NO33",725,0,0.068,23.82,41.29,0.74,0.1,1.7,25
"NO34",726,1,0.083,15.88,35.71,0.74,0.2,1.5,31
"NO35",727,1,0.093,14.02,34.16,0.74,0.2,1.5,31
"NO36",728,0,0.067,28.81,32.36,0.74,0.7,9.8,23
"NO37",729,0,0.106,22.64,31.18,0.74,1.1,10.4,6
"NO38",730,0,0.107,21.86,31.96,0.74,1.1,10.7,7
"NO39",731,1,0.126,12.98,35.66,0.74,1.4,9.6,23
"NO40",732,0,0.056,40.2,41.25,0.74,0.1,2.6,7
"NO41",733,0,0.066,24.92,42.33,0.74,0.2,2,20
"NO42",734,0,0.075,21.44,41.21,0.74,0.2,1.9,25
"NO43",735,0,0.055,34.4,42.65,0.74,0.1,2,13
"NO44",736,0,0.059,43.19,37.75,0.74,0.1,1.9,5
"NO45",737,1,0.059,33.18,33.97,0.74,0.1,1.6,9
"NO46",738,0,0.073,57.24,29.12,0.74,0.5,9.5,6
"NO47",739,0,0.083,31.12,29.78,0.74,0.7,10.1,11
"NO48",740,0,0.104,19.45,35.6,0.74,1,9.6,10
"NO49",741,10,0.113,14.52,34.18,0.74,1.3,9.5,25
"NO50",742,0,0.042,50.14,42.88,0.74,0.1,2.4,6
"NO51",743,0,0.051,29.61,42.14,0.74,0.1,1.8,28
"NO52",744,0,0.068,54.53,23.13,0.74,0.3,5,6
"NO53",745,0,0.057,39.25,41.66,0.74,0.1,2,8
"NO54",746,0,0.048,40.5,37.17,0.74,0.1,2,13
"NO55",747,0,0.059,59.99,34.08,0.74,0.1,1.9,8
"NO56",748,0,0.091,15.19,33.16,0.74,0.2,1.5,32
"NO57",749,1,0.075,33.82,29.46,0.74,0.6,9.6,13
"NO58",750,0,0.086,22.55,31.14,0.74,0.9,9.4,17
"NO59",751,1,0.1,16.23,34.02,0.74,1.1,9.4,28
"NO60",752,0,0.036,70.89,44.78,0.74,0.1,2.9,4
"NO61",753,0,0.053,52.66,42.66,0.74,0.1,2.6,5
"NO63",754,0,0.053,35.52,40.04,0.74,0.1,1.8,12
"NO64",755,0,0.05,33.42,36.39,0.74,0.1,1.8,23
"NO65",756,0,0.047,46.61,33.9,0.74,0.1,1.8,7
"NO66",757,0,0.049,79.56,33.52,0.74,0.1,1.9,9
"NO67",758,0,0.099,19.93,31.12,0.74,0.2,1.8,8
"NO68",759,0,0.109,15.09,28.23,0.74,1.1,8.9,26
